Walor,Kurs (PLN),Zmiana (%),Otwarcie,Min,Max,Obrót (szt.),Obrót (PLN),"Czas
aktualizacji"
Drozapol-Profil SA,1.4,-2.1,1.43,1.36,1.43,779,1088,2019-01-04
Dębica SA,89.6,-2.4,91,89.6,91.8,221,20063,2019-01-04
EC Będzin SA,21,0,21,21,21,5,105,2019-01-04
Echo Investment SA,3.34,-0.6,3.38,3.34,3.41,92203,310136,2019-01-04
ED Invest SA,1.94,1.57,1.94,1.94,1.94,2,4,2019-01-04
Efekt SA,22.8,4.59,21.8,21.5,22.8,935,20489,2019-01-04
Eko Export SA,2.81,1.44,2.8,2.73,2.86,6514,18187,2019-01-04
Elektrobudowa SA,28.8,3.97,27.7,27.7,29,2840,81041,2019-01-04
Elektrotim SA,4.7,-1.26,4.7,4.7,4.7,22,103,2019-01-04
Elemental Holding SA,1.39,1.46,1.39,1.37,1.48,1738748,2482306,2019-01-04
Elkop SA,0.01,0,0.01,0.01,0.01,1510001,15100,2019-01-04
Elzab SA,4.2,4.48,4.2,4.2,4.2,96,403,2019-01-04
EMC Instytut Medyczny SA,7.1,3.65,6.8,6.8,7.1,150,1021,2019-01-04
Enea SA,9.94,0.4,9.9,9.84,9.94,1698024,16780891,2019-01-04
Enefi Plc.,1.5,0,0,0,0,0,0,2019-01-03
Enel-Med SA,10.4,0,0,0,0,0,0,2019-01-03
Energa SA,9.2,0.99,9.12,9.05,9.2,461836,4225053,2019-01-04
Energoaparatura SA,1.14,0,1.14,1.14,1.14,1,1,2019-01-04
Energoinstal SA,0.83,-1.19,0.84,0.8,0.84,8341,6763,2019-01-04
Enter Air SA,21,0,21,20.9,21,72,1510,2019-01-04
Erbud SA,10.15,0.5,10.15,10.15,10.15,501,5085,2019-01-04
ERG SA,45,-7.79,49.4,45,49.4,367,16673,2019-01-04
Ergis SA,2.46,-1.6,2.48,2.4,2.5,6103,15118,2019-01-04
ES-System SA,2.2,0,2.2,2.2,2.2,588,1294,2019-01-04
Esotiq&Henderson SA,17.05,-2.01,17.7,16.9,17.7,2412,40833,2019-01-04
EuCO SA,5.4,0.75,5.2,5.2,5.4,8237,44288,2019-01-04
Eurocash SA,18.9,4.65,18.29,18.21,18.9,341795,6373317,2019-01-04
Eurohold Bulgaria AD,3.6,1.69,3.6,3.6,3.6,2,7,2019-01-04
Eurotel SA,19.5,0.52,19.45,19.2,19.5,568,11015,2019-01-04
Everest Investments SA,0.57,-5,0.6,0.57,0.6,334,191,2019-01-04
Famur SA,5.44,0.74,5.46,5.4,5.58,146686,804831,2019-01-04
Fasing SA,16.1,0.63,16.1,15.7,16.1,398,6335,2019-01-04
Fast Finance SA,0.09,0,0,0,0,0,0,2019-01-03
Feerum SA,9.84,0,9.84,9.84,9.84,11,108,2019-01-04
Fenghua SoleTech AG,17.5,0,0,0,0,0,0,2019-01-03
Ferro SA,12.35,-1.2,13,12.2,13,4305,53500,2019-01-04
Ferrum SA,4.6,6.48,4.54,4.54,4.6,221,1004,2019-01-04
Financial Assets Management Group SA,29,0,0,0,0,0,0,2019-01-03
Fon SE,0.1,0,0.09,0.09,0.1,51848,5046,2019-01-04
Forte SA,23.45,1.74,23.05,23.05,23.55,2021,47206,2019-01-04
GetBack SA w restrukturyzacji,3.75,0,0,0,0,0,0,2019-01-03
Getin Holding SA,0.18,0,0.17,0.17,0.18,1369656,237676,2019-01-04
Getin Noble Bank SA,0.36,0,0.36,0.36,0.36,948924,341613,2019-01-04
Gino Rossi SA,0.53,1.92,0.53,0.53,0.53,135300,71709,2019-01-04
GK Immobile SA,3.33,3.74,3.28,3.28,3.33,269,886,2019-01-04
Global Cosmed SA,0.95,-2.06,0.99,0.89,1.1,21647,21642,2019-01-04
Globalworth Poland Real Estate NV,5.12,0,5.12,5.12,5.12,1,5,2019-01-04
Gobarto SA,7.5,-1.06,7.4,7.4,7.5,240,1799,2019-01-04
GPM Vindexus SA,6.8,-0.29,6.86,6.72,6.88,1703,11507,2019-01-04
GPW SA,37.15,0.81,36.75,36.75,37.45,7619,283112,2019-01-04
Graviton Capital SA,1.61,0,1.61,1.61,1.61,2,3,2019-01-04
Groclin SA,3.23,5.21,3.13,3.07,3.39,169867,554071,2019-01-04
Grodno SA,3.46,-5.21,3.6,3.25,3.6,39351,135643,2019-01-04
Grupa Azoty SA,31.76,-1.18,32.1,31.62,32.44,52362,1673915,2019-01-04
Grupa Kęty SA,328,-0.15,332,328,332,3131,1033575,2019-01-04
Grupa Lotos SA,88,-0.11,88,87.54,89,275681,24338203,2019-01-04
Grupa Żywiec SA,466,0.87,466,466,466,2,932,2019-01-04
GTC SA,8.14,2.52,7.94,7.94,8.35,57001,461494,2019-01-04
Harper Hygienics SA,0.13,0,0.13,0.13,0.13,394461,51280,2019-01-04
Helio SA,7.88,-3.9,8.38,7.78,8.38,4074,32112,2019-01-04
Herkules SA,2.65,-5.02,2.78,2.65,2.78,12618,33882,2019-01-04
Hollywood SA,0.93,1.09,0.93,0.93,0.93,1,1,2019-01-04
HubStyle SA,0.5,4.17,0.5,0.5,0.5,10,5,2019-01-04
Hydrotor SA,38.4,-2.04,39.2,37.6,39.2,230,8732,2019-01-04
Hyperion SA w upadłości,0.28,0,0,0,0,0,0,2019-01-03
i2 Development SA,11,22.49,11,11,11,50,550,2019-01-04
IBSM SA,15,0,0,0,0,0,0,2019-01-03
Idea Bank SA,2.41,-1.63,2.45,2.41,2.45,37496,90858,2019-01-04
IDM SA w upadłości układowej,1.09,-0.91,1.06,1.06,1.09,7901,8376,2019-01-04
iFirma SA,2.15,1.9,2.14,2.14,2.15,811,1740,2019-01-04
IMC SA,13,0,13,13,13,102,1326,2019-01-04
Immofinanz AG,89.75,0,0,0,0,0,0,2019-01-03
Impel SA,6.5,-2.26,7,6.4,7,6918,44976,2019-01-04
Impera Capital SA,1.15,7.48,1.07,1.07,1.16,61,70,2019-01-04
Impexmetal SA,3.27,6.17,3.05,3.05,3.27,16831,52977,2019-01-04
IMS SA,3.7,5.71,3.52,3.5,3.72,14044,49810,2019-01-04
INC SA,1.1,0,1.02,1.02,1.1,634,647,2019-01-04
Indata SA w upadłości,0.31,0,0,0,0,0,0,2019-01-03
Indykpol SA,59.5,2.59,61.5,59,61.5,65,3858,2019-01-04
ING Bank Śląski SA,184,2.22,182,180,184.6,1708,311177,2019-01-04
Inpro SA,4.46,-0.89,4.5,4.28,4.5,2354,10110,2019-01-04
