Walor,Kurs (PLN),Zmiana (%),Otwarcie,Min,Max,Obrót (szt.),Obrót (PLN),"Czas
aktualizacji"
Rainbow Tours SA,21.4,0,21.4,21.4,21.5,268,5745,2019-01-04
Rank Progress SA,1.57,0.64,1.56,1.52,1.59,14502,22578,2019-01-04
Rawlplug SA,8.6,0.23,8.6,8.6,8.6,100,860,2019-01-04
Redan SA,0.59,0,0.59,0.56,0.59,2040,1203,2019-01-04
Redwood Holding SA w restrukturyzacji,0.09,-25,0.09,0.09,0.09,5766,519,2019-01-04
Reinhold Europe AB,0.16,0,0.16,0.16,0.16,10050,1608,2019-01-04
Relpol SA,7.66,-0.26,7.68,7.66,7.68,180,1380,2019-01-04
Remak SA,8.52,-2.07,8.52,8.52,8.52,20,170,2019-01-04
Resbud SE,0.2,17.65,0.2,0.2,0.2,4100,820,2019-01-04
Ronson Development SE,0.82,0,0.82,0.82,0.82,5486,4499,2019-01-04
Rubicon Partners SA,1.06,-2.75,1.01,1.01,1.11,685,692,2019-01-04
Sadovaya Group SA,0.12,0,0,0,0,0,0,2019-01-03
Sanok Rubber Company SA,23,-0.86,24,22.7,24,9303,214164,2019-01-04
SANPL2,354,-1.67,358,348,358,349,122232,2019-01-04
Santander Bank Polska SA,360.8,0.5,362,358.4,365.6,56466,20442735,2019-01-04
Sanwil SA,0.59,0,0,0,0,0,0,2019-01-03
Sare SA,7.5,-5.06,7.5,7.5,7.5,34,255,2019-01-04
Satis Group SA,1.32,0,0,0,0,0,0,2019-01-03
Sco-Pak SA w restrukturyzacji,0.08,0,0,0,0,0,0,2019-01-03
Seco/Warwick SA,17.2,10.97,15.5,15.5,17.2,1550,25072,2019-01-04
Seko SA,9.1,-1.09,9.1,9.1,9.1,250,2275,2019-01-04
Selena FM SA,9.4,0,9.4,8.95,9.4,129,1159,2019-01-04
Selvita SA,52.8,0.96,53.4,52.5,53.4,1040,55038,2019-01-04
Serinus Energy Inc.,0.68,3.03,0.67,0.66,0.69,156106,104897,2019-01-04
Sescom SA,26,-3.7,25.8,25.8,26,174,4517,2019-01-04
Setanta ASI SA,1.26,0,0,0,0,0,0,2019-01-03
Sfinks SA,0.72,-13.25,0.79,0.72,0.79,163202,118897,2019-01-04
Silvano Group AS,10.35,1.47,10.2,10.2,10.35,501,5110,2019-01-04
Simple SA,7,0,7,6.7,7,1292,8664,2019-01-04
Skarbiec Holding SA,21,-2.33,21.4,21,21.5,4359,91860,2019-01-04
Skotan SA,0.7,-1.41,0.7,0.7,0.7,3344,2341,2019-01-04
Skyline Investment SA,0.74,0,0,0,0,0,0,2019-01-03
Sleepz AG,4.08,0,0,0,0,0,0,2019-01-03
Soho Development SA,1.06,0,1.06,1.02,1.06,661,690,2019-01-04
Solar Company SA,0.44,-2.22,0.44,0.44,0.48,1176,532,2019-01-04
Sonel SA,6.1,-1.61,6.2,6.04,6.2,2255,13727,2019-01-04
Sopharma AD,8.35,0,0,0,0,0,0,2019-01-03
Stalexport Autostrady SA,3.36,1.51,3.3,3.3,3.37,267596,887691,2019-01-04
Stalprodukt SA,315,0,312,310.5,316,288,90719,2019-01-04
Stalprofil SA,9,-0.55,9.05,9,9.05,300,2705,2019-01-04
Starhedge SA,0.61,10.91,0.58,0.58,0.61,199000,117738,2019-01-04
Stelmet SA,7.44,1.36,7.3,7.3,7.44,400,2934,2019-01-04
Sunex SA,4.47,1.59,4.3,4.29,4.47,2718,11815,2019-01-04
Suwary SA,15,-0.66,15.1,15,15.1,2,30,2019-01-04
Swissmed CZ SA,1.05,5,1,1,1.05,515,539,2019-01-04
Sygnity SA,2.89,7.04,2.75,2.75,2.89,2761,7754,2019-01-04
Synektik SA,8.78,0,8.78,8.56,8.78,2543,21918,2019-01-04
T-Bull SA,29.2,4.29,28.6,27.4,30.6,2877,82231,2019-01-04
Talanx AG,130,0,0,0,0,0,0,2019-01-03
Talex SA,11.7,-0.43,12.05,11.7,12.05,159,1861,2019-01-04
Tarczyński SA,18.15,0,18.15,18.15,18.15,10,182,2019-01-04
Tatry Mountain Resorts AS,128,0,0,0,0,0,0,2019-01-03
Tauron Polska Energia SA,2.19,1.86,2.16,2.15,2.19,5287567,11471568,2019-01-04
Ten Square Games SA,82.5,6.99,77.02,77.02,82.76,11159,890442,2019-01-04
Termo-Rex SA,0.55,-1.79,0.57,0.55,0.59,290,163,2019-01-04
Tesgas SA,2.55,0.39,2.55,2.55,2.55,1,3,2019-01-04
TIM SA,6.5,0.31,6.38,6.38,6.5,18121,117638,2019-01-04
Torpol SA,4.33,-0.46,4.47,4.3,4.48,24401,106528,2019-01-04
Tower Investments SA,20.6,-1.9,21.6,20.6,21.6,360,7452,2019-01-04
Toya SA,7.1,0,7.3,7.1,7.3,152,1085,2019-01-04
Trakcja PRKiI SA,4.08,0.74,4.1,4.06,4.12,118891,487045,2019-01-04
Trans Polonia SA,2.87,0,2.87,2.87,2.87,2,6,2019-01-04
Triton Development SA,2.48,11.71,2.28,2.28,2.48,12114,28185,2019-01-04
TXM SA,0.27,0,0.27,0.27,0.27,10970,2962,2019-01-04
Ulma SA,73.5,0,73.5,73.5,73.5,1,74,2019-01-04
Unibep SA,4.39,-0.23,4.39,4.35,4.4,64772,282865,2019-01-04
UniCredit SpA,42.61,0.07,42.65,42.61,42.65,194,8271,2019-01-04
Unima 2000 SA,2.12,-0.47,2.18,2.07,2.18,2410,5026,2019-01-04
Unimot SA,8.26,0.73,8,8,8.26,273,2211,2019-01-04
Ursus SA,1.3,-0.76,1.3,1.28,1.32,177359,229214,2019-01-04
Venture Inc SA,1.41,0,1.41,1.41,1.41,60,85,2019-01-04
Vigo System SA,275,-2.14,280,275,280,75,20675,2019-01-04
Vistal Gdynia SA w restrukturyzacji,1.14,-3.39,1.17,1.1,1.22,144029,165545,2019-01-04
Vivid Games SA,1.96,13.95,1.77,1.63,2.08,1987333,3730010,2019-01-04
Votum SA,4.69,0,0,0,0,0,0,2019-01-03
Voxel SA,22.9,-6.15,23.8,22.2,23.8,4710,109075,2019-01-04
VRG SA,3.93,4.8,3.75,3.75,3.96,86893,337756,2019-01-04
Wadex SA,4.92,3.58,4.84,4.84,4.92,382,1878,2019-01-04
Warimpex AG,4.53,0,0,0,0,0,0,2019-01-03
Wasko SA,1.48,5.71,1.4,1.34,1.5,34083,49255,2019-01-04
Wawel SA,806,0,808,806,814,34,27506,2019-01-04
Wielton SA,9.75,1.56,9.55,9.44,9.79,4609,44141,2019-01-04
Wikana SA,0.71,4.41,0.68,0.68,0.71,12204,8309,2019-01-04
Wirtualna Polska Holding SA,53,-0.75,53,53,53.6,55968,2966420,2019-01-04
Wittchen SA,15.5,0.65,15.8,14.8,15.8,5273,78134,2019-01-04
Wojas SA,3.79,0,3.8,3.79,3.8,1841,6978,2019-01-04
Work Service SA,1.6,-2.44,1.65,1.59,1.68,273978,445400,2019-01-04
XTB DM SA,4.41,-2,4.43,4.41,4.43,470,2077,2019-01-04
Yolo SA,1.97,-0.51,1.97,1.97,1.97,858,1690,2019-01-04
Zamet SA,0.74,2.78,0.74,0.74,0.74,1000,740,2019-01-04
Zastal SA,0.36,0,0,0,0,0,0,2019-01-03
ZE PAK SA,7.55,0,7.45,7.45,7.58,6191,46614,2019-01-04
ZM Henryk Kania SA,1.04,0.97,1.05,1.02,1.05,11367,11742,2019-01-04
ZM Ropczyce SA,31.7,-0.31,32,31.4,32,302,9559,2019-01-04
ZPC Otmuchów SA,1.65,-2.94,1.69,1.6,1.69,11,18,2019-01-04
ZPUE SA,60,-1.64,61.5,57,61.5,5829,341791,2019-01-04
ZUE SA,4.48,-4.68,4.69,4.35,4.69,4633,20666,2019-01-04
ZUK Stąporków SA,1.39,2.96,1.39,1.39,1.39,1072,1490,2019-01-04
Śnieżka SA,80,1.91,78,78,80,10,784,2019-01-04
